ID,Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Caminar],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Correr],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Patear una piedra],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Agacharse para recoger una moneda],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Subir corriendo las escaleras],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Saltar hacia un lado],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Lanzar una piedra al agua],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Patear una pelota en el aire],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Correr cuesta abajo],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Montar en bicicleta],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Balancearse en una cuerda],Verse a sí mismo realizando el movimiento (Imaginación visual externa) [Saltar desde un muro alto],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Caminar],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Correr],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Patear una piedra],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Agacharse para recoger una moneda],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Subir corriendo las escaleras],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Saltar hacia un lado],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Lanzar una piedra al agua],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Patear una pelota en el aire],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Correr cuesta abajo],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Montar en bicicleta],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Balancearse en una cuerda],Mirar a través de tus propios ojos mientras realizas el movimiento (Imaginación visual interna) [Saltar desde un muro alto],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Caminar],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Correr],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Patear una piedra],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Agacharse para recoger una moneda],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Subir corriendo las escaleras],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Saltar hacia un lado],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Lanzar una piedra al agua],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Patear una pelota en el aire],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Correr cuesta abajo],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Montar en bicicleta],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Balancearse en una cuerda],Sintiéndote a ti mismo haciendo el movimiento (Imaginación cinestésicas) [Saltar desde un muro alto]
1,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),2. Vaga y tenue,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
2,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida
3,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
4,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
5,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),2. Vaga y tenue,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),2. Vaga y tenue,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
6,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
7,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,2. Vaga y tenue,2. Vaga y tenue,4. Clara y razonablemente vívida,2. Vaga y tenue,2. Vaga y tenue,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,2. Vaga y tenue,2. Vaga y tenue
8,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,2. Vaga y tenue,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,2. Vaga y tenue,2. Vaga y tenue,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida
9,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,"1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad","1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad","1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad","1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad",3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,"1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad",4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),2. Vaga y tenue,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
10,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,2. Vaga y tenue,3. Moderadamente clara y vívida,2. Vaga y tenue,"1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad",2. Vaga y tenue,3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),4. Clara y razonablemente vívida,3. Moderadamente clara y vívida,4. Clara y razonablemente vívida,"1. Ninguna imagen en absoluto, solo ""sabes"" que estás pensando en la habilidad",2. Vaga y tenue,4. Clara y razonablemente vívida,2. Vaga y tenue,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),2. Vaga y tenue,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),3. Moderadamente clara y vívida,3. Moderadamente clara y vívida,2. Vaga y tenue,2. Vaga y tenue,4. Clara y razonablemente vívida,2. Vaga y tenue,2. Vaga y tenue,3. Moderadamente clara y vívida,5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento),5. Perfectamente clara y vívida (como una visión normal o sensación de movimiento)
